"Drug poisoning death rates* by intent, age, sex, and drug type, 1999-2021",,,,,,,,,,,,,,,,,,,
Year,Gender,Intent,,Substance,,,Age Group,,,,,,,,,,,,
,,,,,,,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,,
2010,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,0.1,3.5,7.1,7.5,8.3,4.7,1.0,0.5,1.0,,
2010,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.5,1.3,1.5,1.8,0.9,0.2,0.1,0.1,,
2010,Male,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,1NR,21.7,20.8,22.9,13.1,3.0,2.1,2.7,,
2010,Male,Preventable/accidental,,Any Opioid,,,0.1,0.1,0.1,7.2,14.6,13.0,13.0,7.0,1.0,0.3,0.4,,
2010,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,2.0,4.4,3.8,3.8,1.7,0.3,0.1,0.1,,
2010,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.2,0.2,0.1,0.1,0.1,NR,NR,NR,,
2010,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.8,2.6,3.3,4.3,2.6,0.5,0.2,NR,,
2010,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.7,3.2,2.5,2.2,1.1,0.1,NR,NR,,
2010,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,1.8,3.6,2.6,2.8,1.7,0.2,NR,0.1,,
2010,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.6,1.6,1.6,1.5,0.9,0.1,0.1,NR,,
2010,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,3.1,6.3,6.5,6.8,3.6,0.6,0.2,0.4,,
2010,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.4,1.1,1.4,1.6,0.9,0.2,NR,NR,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.2,0.1,7.7,17.2,20.5,25.4,13.7,4.7,3.8,4.4,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,0.1,5.1,10.7,11.3,13.4,7.0,1.9,0.9,0.8,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.3,2.8,3.2,3.8,1.8,0.5,0.3,0.3,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,NR,0.1,NR,NR,NR,NR,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,0.6,2.0,2.8,3.4,1.5,0.2,NR,NR,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.2,2.3,1.8,1.8,0.7,0.1,NR,NR,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,1.4,2.7,2.5,3.0,1.5,0.3,0.1,0.1,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.5,1.2,1.7,2.2,1.2,0.5,0.2,0.1,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,2.0,4.5,5.5,6.8,3.7,1.2,0.6,0.5,,
2009,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.3,0.9,1.0,1.1,0.5,0.1,NR,NR,,
2009,Both sexes,Preventable/accidental,,All drugs,,,0.5,0.1,0.1,6.5,14.4,16.3,19.6,9.7,2.7,2.4,3.1,,
2009,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,4.5,9.3,9.6,10.9,5.3,1.2,0.5,0.4,,
2009,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.1,2.4,2.5,3.0,1.2,0.2,0.1,0.1,,
2009,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,NR,NR,0.1,NR,NR,NR,NR,,
2009,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.6,1.8,2.5,3.1,1.4,0.2,NR,NR,,
2009,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.0,2.1,1.6,1.7,0.6,0.1,NR,NR,,
2009,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,1.3,2.4,2.2,2.5,1.2,0.2,NR,0.1,,
2009,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.4,1.0,1.3,1.6,0.8,0.3,0.1,0.1,,
2009,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.6,3.8,4.5,5.4,2.7,0.7,0.3,0.2,,
2009,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.3,0.7,0.9,1.0,0.4,0.1,NR,NR,,
2009,Female,"All (preventable, intentional, undetermined)",,All drugs,,,1.0,0.3,0.1,4.1,10.4,16.0,21.8,11.6,4.6,3.9,3.9,,
2009,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.3,0.2,NR,2.5,5.8,8.0,11.1,5.8,1.9,1.0,0.6,,
2009,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,0.1,NR,NR,0.7,1.9,2.5,3.5,1.8,0.7,0.3,0.3,,
2009,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,
2009,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,0.3,1.0,1.5,2.1,0.5,NR,NR,NR,,
2009,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,0.5,0.7,0.6,0.7,0.2,NR,NR,NR,,
2009,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.2,0.1,NR,0.6,1.6,1.8,2.6,1.0,0.2,0.1,0.1,,
2009,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.2,0.9,1.5,2.3,1.4,0.7,0.3,0.1,,
2009,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,1.0,2.7,4.4,6.0,3.4,1.1,0.6,0.3,,
2009,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.2,NR,NR,0.2,0.5,0.6,0.7,0.2,NR,NR,NR,,
2009,Female,Preventable/accidental,,All drugs,,,0.6,0.1,0.1,3.1,8.2,11.7,16.0,7.4,2.6,2.5,2.9,,
2009,Female,Preventable/accidental,,Any Opioid,,,0.2,0.1,NR,2.0,4.9,6.4,8.6,4.0,1.1,0.5,0.4,,
2009,Female,Preventable/accidental,,Benzodiazepines,,,0.1,NR,NR,0.5,1.5,1.9,2.7,1.0,0.3,0.1,NR,,
2009,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,
2009,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.2,0.8,1.4,1.9,0.5,NR,NR,NR,,
2009,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,0.5,0.6,0.5,0.6,0.2,NR,NR,NR,,
2009,Female,Preventable/accidental,,Opioid subgroup - methadone,,,0.1,NR,NR,0.6,1.4,1.5,2.2,0.9,0.2,NR,0.1,,
2009,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.2,0.7,1.2,1.6,0.9,0.4,0.2,0.1,,
2009,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,NR,NR,0.8,2.2,3.4,4.6,2.3,0.7,0.3,0.1,,
2009,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,0.1,NR,NR,0.2,0.4,0.5,0.6,0.2,NR,NR,NR,,
2009,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.6,0.2,0.1,11.3,24.0,25.2,29.1,16.0,4.8,3.5,5.2,,
2009,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.1,0.2,0.1,7.7,15.6,14.8,15.8,8.3,1.9,0.8,1.3,,
2009,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.9,3.8,3.8,4.1,1.9,0.3,0.2,0.4,,
2009,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,NR,NR,NR,NR,,
2009,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,0.9,3.0,4.0,4.8,2.6,0.4,0.1,0.1,,
2009,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.8,3.9,3.0,3.0,1.3,0.2,NR,0.1,,
2009,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,NR,2.2,3.8,3.2,3.3,1.9,0.4,0.1,0.1,,
2009,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.7,1.5,1.8,2.1,1.0,0.3,NR,0.2,,
2009,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.1,0.1,2.8,6.3,6.6,7.6,4.1,1.2,0.5,1.0,,
2009,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.5,1.2,1.5,1.5,0.8,0.2,0.1,0.1,,
2009,Male,Preventable/accidental,,All drugs,,,0.3,0.1,0.1,9.7,20.5,20.9,23.3,12.1,3.0,2.3,3.5,,
2009,Male,Preventable/accidental,,Any Opioid,,,NR,0.1,NR,6.8,13.7,12.8,13.2,6.6,1.2,0.4,0.5,,
2009,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.7,3.3,3.1,3.4,1.3,0.1,0.1,0.2,,
2009,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,NR,0.1,NR,NR,NR,NR,,
2009,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.9,2.8,3.6,4.4,2.4,0.4,0.1,0.1,,
2009,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.6,3.5,2.7,2.7,1.1,0.2,NR,0.1,,
2009,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,2.0,3.4,2.8,2.9,1.7,0.2,0.1,0.1,,
2009,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.6,1.3,1.4,1.6,0.7,0.1,NR,0.1,,
2009,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.1,NR,2.5,5.4,5.6,6.1,3.1,0.7,0.2,0.2,,
2009,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.4,1.1,1.4,1.4,0.7,0.2,NR,NR,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.5,0.3,0.1,8.0,16.8,21.1,25.2,12.9,4.6,3.3,4.1,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,0.1,5.3,1NR,11.2,13.2,6.2,1.7,0.7,0.8,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.3,2.4,2.8,3.5,1.7,0.5,0.3,0.3,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,NR,NR,NR,NR,NR,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.9,2.5,3.3,3.9,1.6,0.3,NR,NR,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.1,2.0,1.7,1.7,0.7,0.1,NR,NR,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,1.6,2.8,2.6,3.3,1.2,0.2,0.1,NR,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.4,1.0,1.4,1.7,0.9,0.3,0.1,0.1,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.2,NR,2.0,4.1,5.2,6.5,3.4,1.0,0.5,0.5,,
2008,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.3,0.6,0.8,0.9,0.4,0.1,NR,NR,,
2008,Both sexes,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,6.8,13.8,16.4,19.4,9.0,2.8,2.0,2.9,,
2008,Both sexes,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,4.7,8.7,9.3,10.7,4.6,1.1,0.4,0.4,,
2008,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.1,2.0,2.2,2.7,1.1,0.2,0.1,0.1,,
2008,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,NR,NR,NR,NR,NR,,
2008,Both sexes,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.8,2.3,3.0,3.5,1.5,0.3,NR,NR,,
2008,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.0,1.8,1.6,1.5,0.7,0.1,NR,NR,,
2008,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,0.1,NR,NR,1.4,2.5,2.2,2.8,1.0,0.2,NR,NR,,
2008,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.4,0.8,1.1,1.3,0.6,0.2,NR,0.1,,
2008,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.7,3.5,4.2,5.0,2.3,0.6,0.2,0.3,,
2008,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.2,0.6,0.7,0.8,0.4,0.1,NR,NR,,
2008,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.4,0.4,0.1,4.0,9.9,16.5,21.0,11.1,4.4,3.3,4.0,,
2008,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.3,0.1,2.3,5.2,8.0,10.5,5.1,1.6,0.9,0.9,,
2008,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,0.6,1.5,2.3,3.1,1.7,0.6,0.4,0.3,,
2008,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,
2008,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,0.4,1.1,1.9,2.1,0.6,0.1,NR,NR,,
2008,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,0.5,0.6,0.7,0.7,0.2,NR,NR,NR,,
2008,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,0.7,1.6,2.0,2.7,0.9,0.2,NR,NR,,
2008,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.2,0.7,1.3,1.7,1.0,0.4,0.1,0.1,,
2008,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.2,NR,0.9,2.4,4.2,5.6,3.1,1.0,0.6,0.7,,
2008,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.1,0.3,0.5,0.6,0.2,NR,NR,NR,,
2008,Female,Preventable/accidental,,All drugs,,,0.2,0.1,NR,3.0,7.3,11.9,15.3,7.1,2.5,1.9,3.0,,
2008,Female,Preventable/accidental,,Any Opioid,,,0.1,0.1,NR,1.9,4.2,6.2,8.2,3.6,1.0,0.5,0.5,,
2008,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.5,1.2,1.7,2.3,1.0,0.3,0.1,0.1,,
2008,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,
2008,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.4,1.0,1.7,1.9,0.6,0.1,NR,NR,,
2008,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,0.4,0.5,0.6,0.6,0.2,NR,NR,NR,,
2008,Female,Preventable/accidental,,Opioid subgroup - methadone,,,0.1,NR,NR,0.6,1.3,1.6,2.3,0.8,0.1,NR,NR,,
2008,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.2,0.5,0.9,1.3,0.7,0.3,NR,0.1,,
2008,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.1,NR,0.7,1.8,3.2,4.1,2.0,0.6,0.3,0.3,,
2008,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.1,0.3,0.4,0.5,0.2,NR,NR,NR,,
2008,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.5,0.3,0.2,11.9,23.6,25.6,29.6,14.8,4.8,3.2,4.4,,
2008,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.1,0.2,0.1,8.1,14.7,14.4,16.0,7.3,1.8,0.6,0.5,,
2008,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.9,3.3,3.2,3.9,1.8,0.4,0.1,0.4,,
2008,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,0.1,NR,NR,NR,,
2008,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,NR,NR,NR,1.3,3.9,4.8,5.7,2.6,0.5,0.1,0.1,,
2008,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.8,3.3,2.8,2.7,1.2,0.2,NR,0.1,,
2008,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,NR,0.1,2.5,4.1,3.2,3.9,1.5,0.3,0.1,0.1,,
2008,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.6,1.2,1.5,1.7,0.7,0.3,0.1,0.1,,
2008,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.1,0.1,3.0,5.9,6.3,7.4,3.7,1.1,0.3,0.2,,
2008,Male,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.4,1.0,1.1,1.3,0.7,0.1,NR,NR,,
2008,Male,Preventable/accidental,,All drugs,,,0.1,0.1,0.1,10.3,20.3,21.0,23.7,11.1,3.1,2.1,2.6,,
2008,Male,Preventable/accidental,,Any Opioid,,,NR,0.1,0.1,7.3,13.2,12.5,13.3,5.7,1.3,0.3,0.2,,
2008,Male,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.7,2.8,2.7,3.1,1.2,0.2,NR,0.1,,
2008,Male,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,NR,NR,NR,NR,NR,,
2008,Male,Preventable/accidental,,Cocaine,,,NR,NR,NR,1.2,3.6,4.3,5.2,2.5,0.5,0.1,0.1,,
2008,Male,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,1.6,3.1,2.6,2.4,1.2,0.2,NR,0.1,,
2008,Male,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,2.2,3.6,2.8,3.4,1.2,0.2,NR,0.1,,
2008,Male,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.6,1.1,1.2,1.3,0.5,0.2,NR,NR,,
2008,Male,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,2.7,5.2,5.3,6.0,2.7,0.7,0.2,0.1,,
2008,Male,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.4,0.9,1.0,1.2,0.6,0.1,NR,NR,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.3,0.2,8.2,16.8,21.4,25.1,12.2,4.0,3.2,4.5,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,0.1,5.0,9.6,11.0,12.5,5.6,1.4,0.7,1.1,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.2,2.4,2.7,3.0,1.4,0.4,0.2,0.4,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,0.1,NR,NR,NR,NR,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,1.3,3.2,4.5,4.7,1.8,0.4,NR,0.1,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,0.8,1.5,1.4,1.5,0.5,0.1,NR,0.1,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.1,0.1,NR,2.0,3.3,3.0,3.5,1.4,0.2,0.1,NR,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.4,1.0,1.3,1.6,0.8,0.3,0.2,0.2,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.1,0.1,NR,1.8,3.8,4.8,5.8,3.0,0.8,0.4,0.7,,
2007,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.3,0.7,0.9,0.9,0.4,0.1,NR,NR,,
2007,Both sexes,Preventable/accidental,,All drugs,,,0.3,0.1,0.1,6.8,13.6,16.6,19.1,8.5,2.4,2.0,3.0,,
2007,Both sexes,Preventable/accidental,,Any Opioid,,,NR,0.1,0.1,4.3,8.2,9.1,1NR,4.1,0.8,0.3,0.5,,
2007,Both sexes,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,1.0,2.0,2.1,2.2,0.9,0.2,NR,0.1,,
2007,Both sexes,Preventable/accidental,,Cannabis,,,NR,NR,NR,0.1,0.1,0.1,NR,NR,NR,NR,NR,,
2007,Both sexes,Preventable/accidental,,Cocaine,,,0.1,NR,NR,1.2,2.9,4.0,4.3,1.7,0.3,NR,0.1,,
2007,Both sexes,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,0.7,1.3,1.3,1.4,0.5,0.1,NR,NR,,
2007,Both sexes,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,1.8,2.9,2.6,2.9,1.1,0.1,0.1,NR,,
2007,Both sexes,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.3,0.8,1.1,1.2,0.5,0.2,0.1,0.1,,
2007,Both sexes,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,NR,NR,1.5,3.2,3.9,4.4,2.1,0.4,0.1,0.2,,
2007,Both sexes,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.3,0.6,0.8,0.8,0.4,0.1,NR,NR,,
2007,Female,"All (preventable, intentional, undetermined)",,All drugs,,,0.7,0.3,0.2,4.2,10.1,16.1,21.0,10.5,3.7,3.2,4.3,,
2007,Female,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,0.1,2.3,5.3,7.8,10.2,4.7,1.4,0.8,0.9,,
2007,Female,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,0.7,1.5,2.3,2.8,1.5,0.4,0.2,0.4,,
2007,Female,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,
2007,Female,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,0.6,1.4,2.5,2.7,0.7,NR,NR,0.1,,
2007,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,0.3,0.5,0.4,0.5,0.2,NR,NR,0.1,,
2007,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,NR,NR,NR,0.9,1.8,2.4,2.9,1.0,0.2,0.1,0.1,,
2007,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.2,0.7,1.2,1.8,0.9,0.4,0.2,0.2,,
2007,Female,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,0.2,0.1,NR,0.9,2.4,3.9,5.2,2.6,0.8,0.4,0.5,,
2007,Female,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.2,0.4,0.6,0.5,0.2,NR,NR,NR,,
2007,Female,Preventable/accidental,,All drugs,,,0.2,0.1,0.1,3.2,7.4,11.7,14.9,6.6,2.0,2.0,3.1,,
2007,Female,Preventable/accidental,,Any Opioid,,,NR,0.1,0.1,2.0,4.3,6.2,7.7,3.2,0.7,0.4,0.5,,
2007,Female,Preventable/accidental,,Benzodiazepines,,,NR,NR,NR,0.6,1.1,1.7,2.0,0.8,0.2,NR,0.1,,
2007,Female,Preventable/accidental,,Cannabis,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,
2007,Female,Preventable/accidental,,Cocaine,,,NR,NR,NR,0.5,1.2,2.2,2.5,0.6,NR,NR,0.1,,
2007,Female,Preventable/accidental,,Opioid subgroup - heroin,,,NR,NR,NR,0.2,0.4,0.4,0.5,0.2,NR,NR,NR,,
2007,Female,Preventable/accidental,,Opioid subgroup - methadone,,,NR,NR,NR,0.8,1.5,2.0,2.3,0.8,0.1,0.1,0.1,,
2007,Female,Preventable/accidental,,Opioid subgroup – including fentanyl,,,NR,NR,NR,0.2,0.5,0.9,1.3,0.5,0.2,0.1,0.1,,
2007,Female,Preventable/accidental,,Opioid subgroup – including oxycodone and hydrocodone,,,NR,0.1,NR,0.8,1.9,3.0,3.7,1.7,0.5,0.1,0.2,,
2007,Female,Preventable/accidental,,Psychostimulants – incl. methamphetamine,,,NR,NR,NR,0.2,0.3,0.5,0.4,0.2,NR,NR,NR,,
2007,Male,"All (preventable, intentional, undetermined)",,All drugs,,,0.8,0.3,0.2,12.0,23.4,26.7,29.2,14.0,4.4,3.2,4.9,,
2007,Male,"All (preventable, intentional, undetermined)",,Any Opioid,,,0.2,0.2,0.1,7.6,13.9,14.1,14.8,6.5,1.4,0.6,1.4,,
2007,Male,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,NR,NR,NR,1.7,3.2,3.0,3.1,1.4,0.3,0.2,0.4,,
2007,Male,"All (preventable, intentional, undetermined)",,Cannabis,,,NR,NR,NR,0.1,0.2,0.1,0.1,NR,NR,NR,NR,,
2007,Male,"All (preventable, intentional, undetermined)",,Cocaine,,,0.1,NR,NR,2.0,5.0,6.6,6.7,2.9,0.8,0.1,0.1,,
2007,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,NR,NR,NR,1.3,2.4,2.4,2.6,0.8,0.1,NR,0.1,,
2007,Male,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.2,0.1,NR,3.0,4.8,3.7,4.1,1.7,0.2,0.1,NR,,
